sizeOfArr, Time of Bubble, Time of Merge, Time of Quick, Time of Selection, comparisons of Bubble, comparisons of Merge, comparisons of Quick, comparisons of Selection
50000, 8.478000, 0.016000, 0.009000, 3.212000,  1249975000, 717998,1252000, 1249975000
100000, 35.460000, 0.032000, 0.015000, 9.822000,  4999950000, 1536247,1835023, 4999950000
150000, 74.301000, 0.060000, 0.021000, 23.698000,  11249925000, 2392470, 3234216, 11249925000
200000, 129.648000, 0.073000, 0.032000, 42.427000,  19999900000, 3272318, 4582608, 19999900000
250000, 219.120000, 0.099000, 0.037000, 65.427000,  31249875000, 4168826, 5260010, 31249875000
300000, 309.402000, 0.106000, 0.043000, 95.320000,  44999850000, 5015732, 6860010, 44999850000
350000, 425.020000, 0.135000, 0.054000, 129.002000,  61249825000,6025478, 7606452, 61249825000
400000, 532.632000, 0.152000, 0.063000, 169.903000,  79999800000, 6901230, 9210521, 79999800000
450000, 691.528000, 0.179000, 0.074300, 215.411000,  101249775000, 7645234,10006000, 101249775000
500000, 853.100000, 0.208000, 0.083000, 264.345000,  124999750000, 8763258, 12324263, 124999750000
550000, 1024.080000, 0.224000, 0.095000, 320.765000,  151249725000, 9712045, 12940535 , 151249725000
600000, 1231.991000, 0.249000, 0.103000, 380.673000,  179999700000, 10945213, 14253045, 179999700000
650000, 1410.282000, 0.267000, 0.114000, 447.240000,  211249675000, 11042642, 15026542, 211249675000
700000, 1607.837000, 0.320000, 0.129000, 518.720000,  244999650000, 12135612, 16894265, 244999650000
750000, 1872.710000, 0.352000, 0.143000, 596.213000,  281249625000, 12606475, 17453652, 281249625000
800000, 2152.752000, 0.356000, 0.151000, 678.305000,  319999600000, 14035781, 20503245, 319999600000
850000, 2590.120000, 0.391000, 0.163000, 765.243000,  361249575000, 15130566, 20975315, 361249575000
900000, 2720.003000, 0.417000, 0.172000, 857.554000,  404999550000, 16200042, 21430452, 404999550000
950000, 3070.995000, 0.462000, 0.191000, 970.231000,  451249525000, 17164253, 24001235, 451249525000
1000000, 3345.077000, 0.496000, 0.205000, 1059.015000,  499999500000, 1814267,24504225, 499999500000
